id	Area	Not_Highschool_Graduated_2017	Highschool_Graduated_2017	Some_College_Graduated_2017	College_Graduated_2017	Unemployment_rate_2017
8117	Summit County	0.066	0.2	0.256	0.478	0.015
8055	Huerfano County	0.095	0.266	0.403	0.236	0.016
38011	Bowman County	0.083	0.325	0.348	0.245	0.016
8087	Morgan County	0.175	0.299	0.318	0.172	0.016
8001	Adams County	0.174	0.283	0.312	0.231	0.016
38079	Rolette County	0.143	0.231	0.419	0.207	0.017
19109	Kossuth County	0.051	0.379	0.373	0.197	0.017
8053	Hinsdale County	0.072	0.206	0.313	0.408	0.017
8011	Bent County	0.151	0.462	0.285	0.103	0.017
20061	Geary County	0.072	0.257	0.457	0.214	0.018
38009	Bottineau County	0.085	0.302	0.393	0.219	0.018
38000	North Dakota	0.077	0.271	0.363	0.289	0.018
31017	Brown County	0.162	0.379	0.328	0.182	0.018
8049	Grand County	0.046	0.275	0.296	0.384	0.018
8109	Saguache County	0.195	0.283	0.263	0.26	0.018
16055	Kootenai County	0.071	0.272	0.411	0.245	0.019
8071	Las Animas County	0.127	0.288	0.383	0.202	0.019
8039	Elbert County	0.037	0.252	0.361	0.35	0.019
31123	Morrill County	0.13	0.325	0.356	0.189	0.019
48299	Llano County	0.135	0.265	0.334	0.266	0.019
38033	Golden Valley County	0.068	0.455	0.272	0.22	0.019
8113	San Miguel County	0.064	0.139	0.255	0.541	0.019
38061	Mountrail County	0.084	0.306	0.392	0.217	0.02
8065	Lake County	0.153	0.303	0.391	0.312	0.02
19159	Ringgold County	0.08	0.372	0.347	0.201	0.02
38029	Emmons County	0.142	0.364	0.338	0.155	0.02
8043	Fremont County	0.102	0.39	0.337	0.171	0.02
38021	Dickey County	0.111	0.278	0.335	0.276	0.02
19157	Poweshiek County	0.073	0.386	0.314	0.227	0.02
20059	Franklin County	0.236	0.375	0.255	0.203	0.02
48193	Hamilton County	0.246	0.411	0.241	0.228	0.02
48099	Coryell County	0.118	0.285	0.443	0.154	0.021
31029	Chase County	0.08	0.276	0.394	0.194	0.021
8103	Rio Blanco County	0.078	0.326	0.386	0.209	0.021
38005	Benson County	0.153	0.309	0.384	0.154	0.021
